request_id,tenant,adapter,whale,arrival_time_ms,start_time_ms,finish_time_ms,wait_time_ms,ttft_ms,service_time_ms,prompt_tokens,output_tokens,total_tokens,switch_penalty_ms
349,C,adapter-doc,True,886,515427,520235,514541,518707,4808,4008,536,4544,900
356,D,adapter-research,False,901,520235,521393,519334,520409,1158,203,103,306,900
224,A,adapter-chat,False,563,521393,522481,520830,521850,1088,71,87,158,900
297,B,adapter-code,False,760,522481,523520,521721,522738,1039,64,36,100,900
353,C,adapter-doc,True,896,523520,528404,522624,526422,4884,3517,1029,4546,900
358,D,adapter-research,False,908,528404,529537,527496,528540,1133,129,110,239,900
232,A,adapter-chat,False,584,529537,530710,528953,530051,1173,256,95,351,900
300,B,adapter-code,False,769,530710,531804,529941,531010,1094,187,39,226,900
357,C,adapter-doc,False,904,531804,532951,530900,531995,1147,251,68,319,900
360,D,adapter-research,False,915,532951,534076,532036,533123,1125,232,53,285,900
233,A,adapter-chat,False,588,534076,535261,533488,534568,1185,214,128,342,900
302,B,adapter-code,False,772,535261,536450,534489,535574,1189,227,126,353,900
366,C,adapter-doc,False,931,536450,537626,535519,536571,1176,148,149,297,900
362,D,adapter-research,False,923,537626,538779,536703,537824,1153,311,47,358,900
235,A,adapter-chat,False,593,538779,539899,538186,539221,1120,107,106,213,900
305,B,adapter-code,False,779,539899,541055,539120,540191,1156,193,105,298,900
370,C,adapter-doc,False,942,541055,542267,540113,541221,1212,280,127,407,900
369,D,adapter-research,False,939,542267,543403,541328,542412,1136,223,69,292,900
236,A,adapter-chat,False,597,543403,544545,542806,543848,1142,124,122,246,900
307,B,adapter-code,False,781,544545,545726,543764,544837,1181,197,131,328,900
371,C,adapter-doc,True,944,545726,550119,544782,547972,4393,2706,1159,3865,900
387,D,adapter-research,False,981,550119,551237,549138,550161,1118,78,117,195,900
237,A,adapter-chat,False,600,551237,552426,550637,551739,1189,267,108,375,900
309,B,adapter-code,False,784,552426,553547,551642,552730,1121,234,48,282,900
374,C,adapter-doc,False,951,553547,554728,552596,553708,1181,291,88,379,900
389,D,adapter-research,False,985,554728,555834,553743,554814,1106,193,50,243,900
241,A,adapter-chat,False,610,555834,557001,555224,556311,1167,230,100,330,900
316,B,adapter-code,False,809,557001,558166,556192,557304,1165,290,70,360,900
375,C,adapter-doc,False,952,558166,559316,557214,558326,1150,290,53,343,900
390,D,adapter-research,False,989,559316,560494,558327,559450,1178,316,72,388,900
242,A,adapter-chat,False,614,560494,561583,559880,560921,1089,122,64,186,900
319,B,adapter-code,False,814,561583,562750,560769,561838,1167,187,121,308,900
377,C,adapter-doc,False,957,562750,563800,561793,562801,1050,44,57,101,900
403,D,adapter-research,False,1027,563800,564998,562773,563886,1198,293,106,399,900
248,A,adapter-chat,False,629,564998,566117,564369,565408,1119,116,100,216,900
322,B,adapter-code,False,819,566117,567196,565298,566355,1079,159,36,195,900
380,C,adapter-doc,True,966,567196,572291,566230,570062,5095,3563,1225,4788,900
413,D,adapter-research,False,1058,572291,573472,571233,572317,1181,224,119,343,900
249,A,adapter-chat,False,633,573472,574533,572839,573856,1061,64,60,124,900
323,B,adapter-code,True,821,574533,577990,573712,576644,3457,2363,405,2768,900
382,C,adapter-doc,True,971,577990,582690,577019,580776,4700,3463,870,4333,900
415,D,adapter-research,False,1063,582690,583876,581627,582705,1186,209,131,340,900
254,A,adapter-chat,False,638,583876,585009,583238,584325,1133,231,62,293,900
328,B,adapter-code,False,832,585009,586196,584177,585246,1187,188,142,330,900
393,C,adapter-doc,True,1000,586196,590787,585196,588545,4591,2919,1202,4121,900
418,D,adapter-research,True,1069,590787,595173,589718,593505,4386,3503,487,3990,900
255,A,adapter-chat,False,641,595173,596307,594532,595561,1134,93,128,221,900
329,B,adapter-code,True,836,596307,600628,595471,599010,4321,3172,691,3863,900
394,C,adapter-doc,False,1004,600628,601770,599624,600671,1142,135,117,252,900
432,D,adapter-research,False,1098,601770,602971,600672,601783,1201,289,111,400,900
256,A,adapter-chat,False,645,602971,604128,602326,603370,1157,129,136,265,900
334,B,adapter-code,True,852,604128,608553,603276,606964,4425,3371,641,4012,900
405,C,adapter-doc,False,1034,608553,609640,607519,608555,1087,109,68,177,900
433,D,adapter-research,False,1102,609640,610740,608538,609585,1100,135,70,205,900
258,A,adapter-chat,False,652,610740,611809,610088,611104,1069,61,70,131,900
341,B,adapter-code,True,867,611809,616987,610942,615134,5178,4043,917,4960,900
420,C,adapter-doc,False,1072,616987,618144,615915,617019,1157,271,70,341,900
435,D,adapter-research,False,1110,618144,619321,617034,618146,1177,291,83,374,900
260,A,adapter-chat,False,656,619321,620446,618665,619743,1125,209,64,273,900
342,B,adapter-code,False,868,620446,621632,619578,620697,1186,306,86,392,900
421,C,adapter-doc,True,1073,621632,626312,620559,624123,4680,3205,1063,4268,900
452,D,adapter-research,False,1150,626312,627435,625162,626230,1123,185,73,258,900
262,A,adapter-chat,False,663,627435,628644,626772,627858,1209,228,148,376,900
348,B,adapter-code,False,883,628644,629800,627761,628858,1156,255,77,332,900
423,C,adapter-doc,False,1079,629800,630965,628721,629777,1165,158,132,290,900
453,D,adapter-research,False,1151,630965,632003,629814,630831,1038,64,35,99,900
264,A,adapter-chat,False,670,632003,633144,631333,632405,1141,196,87,283,900
352,B,adapter-code,False,895,633144,634259,632249,633330,1115,217,49,266,900
428,C,adapter-doc,False,1087,634259,635436,633172,634262,1177,238,108,346,900
454,D,adapter-research,True,1155,635436,639357,634281,637276,3921,2447,851,3298,900
265,A,adapter-chat,False,674,639357,640527,638683,639765,1170,220,108,328,900
